DATESTAMP,COLOR,HHID,UNIQUE_HHID,HAVEPHONE,SPOUSEMOBILE,NUMOTHERPHONES,PRIMARYCOOK,AGE,FUEL,KNOWLUNCH,LUNCHYESTERDAY,WOODLASTWEEK,WOODLASTMONTH,GATHERWOODWEEK,GATHERLASTMONTH,VEHICLE,STOVES,DECISIONS,NOTES,DATESURVEY,PARISH,DATE,GROUP,MAXBID,MAXBIDNOVEL,SALE_DATE,SERIALNUMBER,PAID_PRICE,GENDER,STATUS,INCOME,HOWPAID,MAINEMPLOYER,TIMEEMPLOYED,HAVEPHONE1,SPOUSEMOBILE1,COWS,HOWMANYCOWS,VEHICLE1,TV,RADIO,FUEL1,WOODLASTWEEK1,WOODLASTMONTH1,GATHERWOODWEEK1,GATHERLASTMONTH1,STOVES1,PRIMARYCOOK1,PRIMARYCOOK2,DECISIONS1,DECISIONS2,TYPICALNUMEATING,WINNING_AMOUNT,WIN_TRADITIONAL_OFFER,WIN_NOVEL_OFFER,DEPOSIT_ON_SALES_DAY,PAID_IN_FULL,BALANCE_DUE_AFTER_SALES_MEETING,TOTAL_COLLECTED,RETURNED,DEFAULT,PAYMENT_COMPLETE,AMOUNT_REFUNDED,NOTES_WINNERS,DATE_SALE,FORECASTED_COLLECTION,ACTUAL_COLLECTION,FEMALE,HAVEPHONE2,VEHICLE_DISCRETE,BICYCLE_DUMMY,CAR_DUMMY,MOTORCYCLE_DUMMY,RADIO_DUMMY,BUYWOOD_DUMMY,GATHERWOOD_DUMMY,RESPONDENT_PRIMARY_COOK,HH_PHONES,WOOD,MARRIED1,MARRIED,TIME_EMPLOYED,WIFECOOK,JOINTDECISION,TSF_PRIMARY,SELFEMPLOYED
2/8/12 16:45,Yellow,D,11,Yesnonumber,No,,Spouse,43,Wood,Yes,6,No,No,Yes,Yes,Bicycle,Built-in Mud Stove,Respondent & Spouse Jointly,none,8-Feb-12,Bujaga,2/8/12,Improves Health,70000,90000,,,,Male,Married (monogamous),Yes,Cash and in-kind,Self-employed,All year,Participant owns phone,Spouse does not own phone,No,,Bicycle,No,Yes,Wood,No,No,Yes,Yes,Built-in Mud Stove,Spouse,Wife,Respondent & Spouse Jointly,Wife & Husband Jointly,Yes,,,,,,,,,,,,,,,,0,1,Bicycle,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1
2/8/12 15:09,White,W,56,No,,,Other,25,Wood,No,,No,No,Yes,Yes,None,None,Father or Mother,Ok,8-Feb-12,Bujaga,2/8/12,No Message,,,,,,Male,Single (never married),Yes,Cash and in-kind,Self-employed,All year,Participant does not own phone,,Yes,0-5 cows,None,No,Yes,Wood,No,No,Yes,Yes,None,Other,Other,Father or Mother,Father or Mother,,,,,,,,,,,,,,,,,0,0,None,0,0,0,1,0,1,0,2,1,0,0,1,0,0,1,1
2/8/12 15:28,Yellow,U,52,Yes,Yes but I don`t know the phone number,,Respondent,39,Wood,Yes,4,Yes,Yes,No,No,None,Built-in Mud Stove,Respondent & Spouse Jointly,none,8-Feb-12,Bujaga,2/8/12,Improves Health,30000,40000,,,,Female,Married (monogamous),Yes,Cash and in-kind,Family member,All year,Participant owns phone,Spouse owns phone,Yes,0-5 cows,None,No,Yes,Wood,Yes,Yes,No,No,Built-in Mud Stove,Respondent,Wife,Respondent & Spouse Jointly,Wife & Husband Jointly,No we had less than usual,,,,,,,,,,,,,,,,1,1,None,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0
2/8/12 15:16,Pink,D,9,No,No,,Respondent,36,Wood,Yes,3,No,No,Yes,Yes,None,None,Spouse,no,8-Feb-12,Bujaga,2/8/12,"Time, Money and Health",10000,10000,,,,Female,Married (monogamous),Yes,Cash only,Non-family member,All year,Participant does not own phone,Spouse does not own phone,No,,None,No,Yes,Wood,No,No,Yes,Yes,None,Respondent,Wife,Spouse,Husband,No we had less than usual,,,,,,,,,,,,,,,,1,0,None,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0
2/8/12 16:47,Orange,E,12,No,No,,Respondent,37,Wood,Yes,6,No,No,Yes,Yes,Bicycle,None,Respondent & Spouse Jointly,none,8-Feb-12,Bujaga,2/8/12,Saves Time and Money,100000,200000,2/8/12,EG1JO84946,100000,Female,Married (monogamous),Yes,Cash only,Self-employed,Seasonal,Participant does not own phone,Spouse does not own phone,No,,Bicycle,No,Yes,Wood,No,No,Yes,Yes,None,Respondent,Wife,Respondent & Spouse Jointly,Wife & Husband Jointly,No we had more than usual,100000,0,1,25000,0,75000,0,1,0,0,25000,,8-Feb-12,29-Mar-12,27-Apr-12,1,0,Bicycle,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1
2/8/12 15:16,Orange,O,33,Yes,Yes I can enter the phone number,,Respondent,39,Wood,Yes,3,No,No,Yes,Yes,Bicycle,None,Respondent & Spouse Jointly,none,8-Feb-12,Bujaga,2/8/12,Saves Time and Money,10000,20000,,,,Female,Married (monogamous),Yes,Cash only,Self-employed,Seasonal,Participant owns phone,Spouse owns phone,Yes,0-5 cows,Bicycle,No,Yes,Wood,No,No,Yes,Yes,None,Respondent,Wife,Respondent & Spouse Jointly,Wife & Husband Jointly,No we had less than usual,,,,,,,,,,,,,,,,1,1,Bicycle,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1
2/8/12 16:23,Pink,C,7,Yes,,,Other,20,Wood,Yes,6,No,No,Yes,Yes,None,None,Father or Mother,no,8-Feb-12,Bujaga,2/8/12,"Time, Money and Health",5000,8000,,,,Male,Single (never married),No,,,,Participant owns phone,,No,,None,No,Yes,Wood,No,No,Yes,Yes,None,Other,Other,Father or Mother,Father or Mother,No we had less than usual,,,,,,,,,,,,,,,,0,1,None,0,0,0,1,0,1,0,2,1,0,0,0,0,0,1,0
2/8/12 15:33,Yellow,A,3,Yes,No,,Respondent,37,Wood,Yes,9,No,No,Yes,Yes,Bicycle,Built-in Mud Stove,Respondent & Spouse Jointly,none,8-Feb-12,Bujaga,2/8/12,Improves Health,65000,80000,,,,Female,Married (monogamous),No,,,,Participant owns phone,Spouse does not own phone,Yes,0-5 cows,Bicycle,No,Yes,Wood,No,No,Yes,Yes,Built-in Mud Stove,Respondent,Wife,Respondent & Spouse Jointly,Wife & Husband Jointly,Yes,,,,,,,,,,,,,,,,1,1,Bicycle,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0
2/8/12 15:36,Orange,K,24,No,No,,Respondent,67,Wood,Yes,5,No,No,Yes,Yes,Bicycle,None,Respondent & Spouse Jointly,none,8-Feb-12,Bujaga,2/8/12,Saves Time and Money,2000,2000,,,,Female,Married (monogamous),No,,,,Participant does not own phone,Spouse does not own phone,Yes,0-5 cows,Bicycle,No,Yes,Wood,No,No,Yes,Yes,None,Respondent,Wife,Respondent & Spouse Jointly,Wife & Husband Jointly,No we had less than usual,,,,,,,,,,,,,,,,1,0,Bicycle,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0
2/8/12 15:05,Pink,Y,61,No,Yes but I don`t know the phone number,,Respondent,35,Wood,Yes,7,No,No,Yes,Yes,Bicycle,None,Spouse,no,8-Feb-12,Bujaga,2/8/12,"Time, Money and Health",5000,5000,,,,Female,Married (monogamous),Yes,Cash only,Self-employed,All year,Participant does not own phone,Spouse owns phone,Yes,0-5 cows,Bicycle,No,Yes,Wood,No,No,Yes,Yes,None,Respondent,Wife,Spouse,Husband,Yes,,,,,,,,,,,,,,,,1,0,Bicycle,1,0,0,1,0,1,1,2,1,1,1,1,1,0,1,1
